Run_ID,Thickness_mm,YoungsModulus_MPa,Density_t_mm3,PoissonsRatio,Mode_1_Hz,Mode_2_Hz,Mode_3_Hz
1,0.009787260685182916,5886.024751639069,1.2602516409970946e-09,0.3439251748876476,4.40952e-43,3.91358e-40,8.17671e-41
2,0.008211194813203739,3654.9614062104433,1.2432359251369953e-09,0.2717109516222679,4.35514e-44,5.66427e-41,1.15436e-39
3,0.029522094278969825,5617.723838672918,1.2725804447650362e-09,0.2973793526541998,4.448e-42,4.42926e-40,5.1533e-40
4,0.010089432519271132,3993.6182743895824,1.2282931846544866e-09,0.3213681418963384,2.25275e-42,1.51072e-41,2.5255e-40
5,0.0021354708655521907,4897.838792011968,1.2206484128716084e-09,0.3094555168763097,7.4416e-45,1.23056e-43,1.61596e-42
6,0.02228767303801784,4073.3024336908106,1.3278481589528193e-09,0.32551805884998863,4.72375e-42,3.3117e-44,2.73109e-40
7,0.02666320684058479,3052.8903793856866,1.2308014607767764e-09,0.2524322035817872,6.8558e-42,1.44031e-40,3.76441e-40
8,0.02627943553275483,3443.1258804047106,1.276109814002854e-09,0.34860526394188124,9.57445e-44,5.41913e-42,2.80303e-41
9,0.012462402220019278,3864.547403187013,1.279447123083049e-09,0.26666037201063497,6.23804e-42,6.71865e-42,6.72885e-40
10,0.016093934511218686,1876.606051413466,1.222940390764358e-09,0.28407620467090094,1.55098e-42,2.03518e-42,1.25809e-39
11,0.014635194925431493,1962.9540293965133,1.2628835469998682e-09,0.32242787138944606,1.14358e-42,2.78866e-40,2.36902e-39
12,0.003803899493779155,5328.310981084101,1.2897865253903096e-09,0.29246270501616467,4.86824e-43,2.3549e-42,1.2431e-41
13,0.004417802517774013,3380.536129214803,1.3242100356924676e-09,0.2798345400001551,1.88566e-44,3.51521e-41,1.0126e-39
14,0.024143007165698532,3590.9952139224356,1.3047665700155715e-09,0.31177093985292803,4.31036e-42,1.37712e-40,1.00973e-39
