Run_ID,Thickness_mm,YoungsModulus_MPa,Density_t_mm3,PoissonsRatio,Freq1_Hz,Freq2_Hz,Freq3_Hz
0,0.020046584612808657,1144.6420599342005,1.225489269869142e-09,0.2619543922579406,1.5785623875626549,6.744509023405249,12.852875739272193
1,0.009787260685182916,5886.024751639069,1.2602516409970946e-09,0.3439251748876476,1.7241254985145023,7.32399217120284,13.94929414223226
2,0.008211194813203739,3654.9614062104433,1.2432359251369953e-09,0.2717109516222679,1.147968689027532,4.8995849230839985,9.334119102453478
3,0.029522094278969825,5617.723838672918,1.2725804447650362e-09,0.2973793526541998,5.046166625671634,21.51774830602425,41.02536968079786
4,0.010089432519271132,3993.6182743895824,1.2282931846544866e-09,0.3213681418963384,1.4828306892928798,6.30794701450418,12.016198203438098
5,0.0021354708655521907,4897.838792011968,1.2206484128716084e-09,0.3094555168763097,0.34875622679727025,1.4845973091611997,2.8278650288567966
6,0.02228767303801784,4073.3024336908106,1.3278481589528193e-09,0.32551805884998863,3.1781650586020582,13.522122274973613,25.770368385439692
7,0.02666320684058479,3052.8903793856866,1.2308014607767764e-09,0.2524322035817872,3.4196031072724633,14.625225185543538,27.877579831976387
8,0.02627943553275483,3443.1258804047106,1.276109814002854e-09,0.34860526394188124,3.513186213810498,14.92761957741814,28.45053762710721
9,0.012462402220019278,3864.547403187013,1.279447123083049e-09,0.26666037201063497,1.7656649386614869,7.53980627403545,14.364847698645198
10,0.016093934511218686,1876.606051413466,1.222940390764358e-09,0.28407620467090094,1.6244945041389758,6.929128757391847,13.203175769017454
11,0.014635194925431493,1962.9540293965133,1.2628835469998682e-09,0.32242787138944606,1.4866981544100129,6.324817438471921,12.049779896430488
12,0.003803899493779155,5328.310981084101,1.2897865253903096e-09,0.29246270501616467,0.6303808985983791,2.6865354393911933,5.117627195119895
13,0.004417802517774013,3380.536129214803,1.3242100356924676e-09,0.2798345400001551,0.5755679361975303,2.4551241521355776,4.676768002755344
14,0.024143007165698532,3590.9952139224356,1.3047665700155715e-09,0.31177093985292803,3.260448164180568,13.88547301005241,26.465875486751276
15,0.01594209433807537,5050.929300564549,1.320730386123149e-09,0.3467453823185951,2.54011289174665,10.790227676801228,20.554860900318285
16,0.011348664290475633,1456.1121560247948,1.2368425466678558e-09,0.34139209980387475,1.003631071137492,4.26407923531806,8.12183590092251
17,0.023262742012641953,5941.2355427822295,1.2098420798506693e-09,0.2682137577573556,4.198507398764199,17.933578987594768,34.178524028984526
18,0.028554605761767778,2116.732180394216,1.2156761851365733e-09,0.3186555198139204,3.0653242039499045,13.051978573080152,24.88228380298692
19,0.018075587495650657,2934.05773653081,1.3081925562145215e-09,0.25566605416018456,2.206205821139853,9.429930378194799,17.968593075074985
20,0.02346798441741666,1350.6009180755482,1.2879564582818041e-09,0.2741464700223028,1.956969180257945,8.355793667267596,15.926635155205966
21,0.021587281239045034,2528.0537044049065,1.2018160685682155e-09,0.34581106666387695,2.549503033389071,10.832722046606763,20.640804569587907
22,0.010869687803741182,4649.895522489664,1.3005379206069094e-09,0.25962105728183144,1.6759015507576578,7.15942596004582,13.639737777918521
23,0.005479322348598803,4261.897877390353,1.2036636197221483e-09,0.2567394348137622,0.8409588038032658,3.5929228402995372,6.844299172723867
24,0.029237384938090097,1591.23500806839,1.240146061382062e-09,0.30364146338368453,2.694334031602696,11.483824918795708,21.894945521152042
25,0.00340747133473063,1630.0292866189252,1.2565087381002052e-09,0.26337526671723593,0.31654326631547064,1.351702931679467,2.5749678242837746
